expense_description,category
Jollibee burger meal,Food & Dining
Jollibee chickenjoy,Food & Dining
McDo large fries,Food & Dining
McDonald's value meal,Food & Dining
KFC chicken bucket,Food & Dining
Mang Inasal paa,Food & Dining
Chowking halo halo,Food & Dining
Greenwich pizza,Food & Dining
Shakey's pizza delivery,Food & Dining
Yellow Cab pizza,Food & Dining
Bonchon chicken,Food & Dining
Max's restaurant fried chicken,Food & Dining
Starbucks coffee,Food & Dining
Starbucks frappuccino,Food & Dining
Coffee Bean latte,Food & Dining
Milk tea,Food & Dining
Chatime milk tea,Food & Dining
Gong cha,Food & Dining
Grab food delivery,Food & Dining
Foodpanda delivery,Food & Dining
SM supermarket groceries,Food & Dining
Robinsons supermarket,Food & Dining
Puregold groceries,Food & Dining
S&R membership groceries,Food & Dining
Palengke groceries,Food & Dining
Wet market fish,Food & Dining
Ulam sa tindahan,Food & Dining
Rice and viand,Food & Dining
Siomai House,Food & Dining
Dimsum Break,Food & Dining
Ramen place,Food & Dining
Pasta dinner,Food & Dining
Pandesal bakery,Food & Dining
Bread from bakery,Food & Dining
BBQ inasal dinner,Food & Dining
Inihaw na liempo,Food & Dining
Lunch merienda,Food & Dining
Breakfast silogs,Food & Dining
Late night snack,Food & Dining
Burger King whopper,Food & Dining
Wendy's burger,Food & Dining
Potato Corner fries,Food & Dining
Auntie Anne's pretzel,Food & Dining
Ministop chicken,Food & Dining
7-Eleven meal,Food & Dining
Family Mart bento,Food & Dining
Hakdog snack,Food & Dining
Fishball street food,Food & Dining
Taho merienda,Food & Dining
Balut kwek kwek,Food & Dining
Grab ride to work,Transportation
Grab car airport,Transportation
Angkas motorcycle ride,Transportation
Taxi fare downtown,Transportation
MRT fare,Transportation
LRT fare,Transportation
MRT load card,Transportation
Beep card reload,Transportation
Jeepney fare,Transportation
Bus fare province,Transportation
Victory Liner bus ticket,Transportation
Genesis bus fare,Transportation
P2P bus NAIA,Transportation
UV Express fare,Transportation
FX ride,Transportation
Tricycle fare,Transportation
Pedicab ride,Transportation
Gas station Petron,Transportation
Shell gasoline full tank,Transportation
Phoenix fuel,Transportation
Caltex petrol,Transportation
NLEX toll fee,Transportation
SLEX expressway toll,Transportation
Skyway toll,Transportation
C5 toll,Transportation
Car parking fee,Transportation
SM parking,Transportation
Ayala mall parking,Transportation
Car wash,Transportation
Oil change service,Transportation
Vehicle registration LTO,Transportation
Motorcycle insurance,Transportation
Car repair brake,Transportation
Tire replacement,Transportation
Boat fare Batangas,Transportation
Ferry ticket Cebu,Transportation
Palawan ferry,Transportation
Airline ticket Cebu Pacific,Transportation
PAL flight ticket,Transportation
Meralco electric bill,Utilities & Bills
Meralco electricity,Utilities & Bills
Maynilad water bill,Utilities & Bills
Manila Water bill,Utilities & Bills
PLDT home fiber bill,Utilities & Bills
Globe fiber internet,Utilities & Bills
Converge internet bill,Utilities & Bills
Sky cable internet,Utilities & Bills
Globe postpaid bill,Utilities & Bills
Smart postpaid plan,Utilities & Bills
Sun Cellular bill,Utilities & Bills
Globe prepaid load,Utilities & Bills
Smart load,Utilities & Bills
Netflix subscription,Utilities & Bills
Spotify premium,Utilities & Bills
Disney Plus subscription,Utilities & Bills
YouTube Premium,Utilities & Bills
Adobe subscription,Utilities & Bills
Microsoft 365,Utilities & Bills
LPG gas cylinder,Utilities & Bills
Gasul LPG refill,Utilities & Bills
Condo association dues,Utilities & Bills
HOA monthly dues,Utilities & Bills
Garbage collection fee,Utilities & Bills
Cable TV bill,Utilities & Bills
Shopee order,Shopping
Lazada delivery,Shopping
Zalora clothes,Shopping
Shein fashion order,Shopping
TikTok Shop purchase,Shopping
SM department store,Shopping
Ayala mall shopping,Shopping
Robinsons department,Shopping
Landmark grocery and clothes,Shopping
H&M clothing,Shopping
Uniqlo shirt,Shopping
Penshoppe clothes,Shopping
Bench shirt,Shopping
Nike shoes,Shopping
Adidas sneakers,Shopping
Bag from SM,Shopping
Accessories jewelry,Shopping
Laptop purchase,Shopping
iPhone new phone,Shopping
Samsung gadget,Shopping
Earphones JBL,Shopping
TV appliance,Shopping
Refrigerator new,Shopping
Washing machine,Shopping
Electric fan,Shopping
Aircon unit,Shopping
Kitchen supplies,Shopping
Home decor items,Shopping
Furniture sala set,Shopping
St. Luke's hospital bill,Healthcare
Makati Medical checkup,Healthcare
Doctor consultation fee,Healthcare
Dentist cleaning,Healthcare
Dental braces payment,Healthcare
Mercury Drug medicine,Healthcare
Watsons pharmacy,Healthcare
Rose Pharmacy prescription,Healthcare
Generika medicines,Healthcare
Laboratory blood test,Healthcare
X-ray chest,Healthcare
Ultrasound OB,Healthcare
Medical checkup annual,Healthcare
Eye checkup optika,Healthcare
Eyeglasses prescription,Healthcare
Contact lens,Healthcare
Vitamins supplements,Healthcare
Health insurance premium,Healthcare
PhilHealth contribution,Healthcare
HMO payment,Healthcare
Vaccine flu shot,Healthcare
Physical therapy session,Healthcare
Mental health counseling,Healthcare
SM Cinema movie ticket,Entertainment
Ayala Cinemas film,Entertainment
IMAX movie,Entertainment
Concert ticket Taylor Swift,Entertainment
Live event show,Entertainment
KTV karaoke session,Entertainment
Videoke bar night out,Entertainment
Bar gimik drinks,Entertainment
Club entrance fee,Entertainment
Steam game purchase,Entertainment
